ملاحظات تقارير تدقيق وفحص المواقع,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,إحصائيات وأرقام,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
الرقم ,الوحدة,التصنيف ,الموقع,تاريخ الملاحظة,تصنيف النشاط,الملاحظة,الحالة ,الإدارة المسئولة عن تنفيذ التوصية,تفاصيل إضافية,,للتحقق,,,
1,TCBU,عالي - High,,2025-01-18 00:00:00,"Hot Works
الأعمال الساخنة",,مفتوح - Open,المشاريع - Project,,,يوجد تحديث,,,
2,MCBU,متوسط - Medium,,2025-01-18 00:00:00,"Excavation/Trench
عمل حفرية / خندق",,مفتوح - Open,المشاريع - Project,,,يوجد تحديث,,,
3,JCBU,منخفض - Low,,2025-01-18 00:00:00,"Isolation Lockout and Tag-out 
العزل الميكانيكي والكهربائي",,مغلق - Close,المشاريع - Project,,,يوجد تحديث,,,
4,TCBU,عالي - High,,2025-01-18 00:00:00,الأعمال المؤقتة بالطرقات (صيانة، تشغيل),,مفتوح - Open,الخدمات العامة والمرافق - General Services & Facilities ,,,يوجد تحديث,,,
5,MCBU,متوسط - Medium,,2025-01-18 00:00:00,"Confined Space
العمل  داخل مكان مغلق",,مفتوح - Open,الخدمات العامة والمرافق - General Services & Facilities ,,,يوجد تحديث,,,
6,JCBU,منخفض - Low,,2025-01-18 00:00:00,"Working at Height
العمل على ارتفاعات",,مغلق - Close,الخدمات العامة والمرافق - General Services & Facilities ,,,يوجد تحديث,,,
7,TCBU,عالي - High,,2025-01-18 00:00:00,"Lifting Operation and Equipment
معدات وعمليات الرفع",,مفتوح - Open,المستودعات - Warehouse,,,يوجد تحديث,,,
8,MCBU,متوسط - Medium,,2025-01-18 00:00:00,"Hazardous Chemical Materials
التعامل مع المواد الكيمائية الخطرة",,مفتوح - Open,المستودعات - Warehouse,,,يوجد تحديث,,,
9,JCBU,منخفض - Low,,2025-01-18 00:00:00,أعمال الترميم أو الهدم أو الإزالة,,مغلق - Close,المستودعات - Warehouse,,,يوجد تحديث,,,
10,TCBU,عالي - High,,2025-01-18 00:00:00,"Dealing with Asbestos
العمل تحت نطاق الإسبيوتس",,مفتوح - Open,العقد طويل الأجل - LOTM,,,يوجد تحديث,,,
11,MCBU,متوسط - Medium,,2025-01-18 00:00:00,تجهيزات الحماية من الحرائق,,مفتوح - Open,العقد طويل الأجل - LOTM,,,يوجد تحديث,,,
12,JCBU,منخفض - Low,,2025-01-18 00:00:00,"Hot Works
الأعمال الساخنة",,مغلق - Close,العقد طويل الأجل - LOTM,,,يوجد تحديث,,,
13,TCBU,عالي - High,,2025-01-18 00:00:00,"Excavation/Trench
عمل حفرية / خندق",,مفتوح - Open,تشغيل وصيانة المياه - Water O&M,,,يوجد تحديث,,,
14,MCBU,متوسط - Medium,,2025-01-18 00:00:00,"Isolation Lockout and Tag-out 
العزل الميكانيكي والكهربائي",,مفتوح - Open,تشغيل وصيانة المياه - Water O&M,,,يوجد تحديث,,,
15,JCBU,منخفض - Low,,2025-01-18 00:00:00,الأعمال المؤقتة بالطرقات (صيانة، تشغيل),,مغلق - Close,تشغيل وصيانة المياه - Water O&M,,,يوجد تحديث,,,
16,TCBU,عالي - High,,2025-01-18 00:00:00,"Confined Space
العمل  داخل مكان مغلق",,مفتوح - Open,تشغيل وصيانة الخدمات البيئية - ES O&M,,,يوجد تحديث,,,
17,MCBU,متوسط - Medium,,2025-01-18 00:00:00,"Working at Height
العمل على ارتفاعات",,مفتوح - Open,تشغيل وصيانة الخدمات البيئية - ES O&M,,,يوجد تحديث,,,
18,JCBU,منخفض - Low,,2025-01-18 00:00:00,"Lifting Operation and Equipment
معدات وعمليات الرفع",,مغلق - Close,تشغيل وصيانة الخدمات البيئية - ES O&M,,,يوجد تحديث,,,
19,TCBU,عالي - High,,2025-01-18 00:00:00,"Hazardous Chemical Materials
التعامل مع المواد الكيمائية الخطرة",,مفتوح - Open,تشغيل وصيانة المحافظات - MK Directorates,,,يوجد تحديث,,,
20,MCBU,متوسط - Medium,,2025-01-18 00:00:00,أعمال الترميم أو الهدم أو الإزالة,,مفتوح - Open,تشغيل وصيانة المحافظات - MK Directorates,,,يوجد تحديث,,,
21,JCBU,منخفض - Low,,2025-01-18 00:00:00,"Dealing with Asbestos
العمل تحت نطاق الإسبيوتس",,مغلق - Close,تشغيل وصيانة المحافظات - MK Directorates,,,يوجد تحديث,,مفتوح ,H
22,TCBU,عالي - High,,2025-01-18 00:00:00,تجهيزات الحماية من الحرائق,,مفتوح - Open,إدارة التوصيلات المنزلية - House Connections,,,يوجد تحديث,,مغلق,M
23,MCBU,متوسط - Medium,,2025-01-18 00:00:00,"Hot Works
الأعمال الساخنة",,مفتوح - Open,إدارة التوصيلات المنزلية - House Connections,,,يوجد تحديث,,,L
24,JCBU,منخفض - Low,,2025-01-18 00:00:00,"Excavation/Trench
عمل حفرية / خندق",,مغلق - Close,إدارة التوصيلات المنزلية - House Connections,,,يوجد تحديث,,,
25,TCBU,عالي - High,,2025-01-18 00:00:00,"Isolation Lockout and Tag-out 
العزل الميكانيكي والكهربائي",,مفتوح - Open,إدارة المختبر - Laboratory,,,يوجد تحديث,,,
26,MCBU,متوسط - Medium,,2025-01-18 00:00:00,الأعمال المؤقتة بالطرقات (صيانة، تشغيل),,مفتوح - Open,إدارة المختبر - Laboratory,,,يوجد تحديث,,,
27,JCBU,منخفض - Low,,2025-01-18 00:00:00,"Confined Space
العمل  داخل مكان مغلق",,مغلق - Close,إدارة المختبر - Laboratory,,,يوجد تحديث,,,
28,TCBU,عالي - High,,2025-01-18 00:00:00,"Working at Height
العمل على ارتفاعات",,مفتوح - Open,أخرى - Other,,,يوجد تحديث,,,
29,MCBU,متوسط - Medium,,2025-01-18 00:00:00,"Lifting Operation and Equipment
معدات وعمليات الرفع",,مفتوح - Open,أخرى - Other,,,يوجد تحديث,,,
30,JCBU,منخفض - Low,,2025-01-18 00:00:00,"Hazardous Chemical Materials
التعامل مع المواد الكيمائية الخطرة",,مغلق - Close,أخرى - Other,,,يوجد تحديث,,,
